ID,CONAME,gvkey,TWITTER ACCOUNT,Account
964,PENNSYLVANIA RE INVS TRUST,008457,@PREIT,Green
965,PILGRIM'S PRIDE CORP,012785,@PridePilgrims,Green
966,MARTIN MARIETTA MATERIALS,029733,@MartinMarietta,Green
967,KLX INC,022343,,N/A
968,TAUBMAN CENTERS INC,025950,@TaubmanCenters,Green
969,LAIDLAW INTERNATIONAL INC,006557,@FirstStudentInc,Green
970,EMCOR GROUP INC,006223,,N/A
971,NATIONAL RETAIL PROPERTIES,012140,,N/A
972,MOMENTIVE SPCLTY CHEMICALS,002316,@Momentive,Green
973,ENCORE ACQUISITION CO,142382,,N/A
974,TALMER BANCORP INC,192458,@talmer_bank,Green
975,MARINER ENERGY INC,148281,@ApacheCorp,Green
976,KILROY REALTY CORP,064306,@Kilroyrealty,Green
977,KINDRED HEALTHCARE INC,017239,@kindredhealth,Green
978,UNISYS CORP,002504,@unisyscorp,Green
979,ROSS STORES INC,009248,@IGotItAtRoss,Green
980,CRANE CO,003580,@CraneCompany,Green
981,AUTODESK INC,001878,@autodesk,Blue
982,CON-WAY INC,003416,@ConwayInc,Green
983,LORILLARD INC,147175,@LorillardInc,Red
984,MICROCHIP TECHNOLOGY INC,027965,@MicrochipTech,Green
985,MEDIMMUNE INC,024008,@MedImmune,Green
986,JANUS CAPITAL GROUP INC,137232,@JanusCapital,Green
987,GREAT ATLANTIC & PAC TEA CO,005301,@AandPStores,Green
988,ANIXTER INTL INC,006196,@Anixter,Green
989,INTL FLAVORS & FRAGRANCES,006078,@IFF,Green
990,FOSTER WHEELER AG,004864,@FWUSA,Green
991,APOLLO EDUCATION GROUP INC,031122,@Apollo_EDU,Green
992,DRESSER-RAND GROUP INC,163948,@dresserrandco,Green
993,HARMAN INTERNATIONAL INDS,012788,@Harman,Green
994,YRC WORLDWIDE INC,011649,@yrcfreight,Green
995,BANK MUTUAL CORP,140983,@BankMutual,Green
996,STANDARD PACIFIC CORP,010002,@CalAtlantic,Green
997,HEWITT ASSOCIATES INC,147658,@HewittAssociate,Green
998,QUICKSILVER RESOURCES INC,118795,@Quiksilver,Blue
999,LSI CORP,006529,@Avagotech,Green
1000,COOPER COMPANIES INC,003504,,N/A
1001,SOLUTIA INC,065350,@EastmanChemCo,Green
1002,MID-AMERICA APT CMNTYS INC,029649,,N/A
1003,READERS DIGEST ASSN INC,020783,@readersdigest,Blue
1004,SIX FLAGS ENTERTAINMENT CORP,010567,@SixFlags,Blue
1005,MOODY'S CORP,139665,@MoodysRatings,Green
1006,KENNAMETAL INC,006386,@Kennametal,Green
1007,CITY HOLDING CO,016781,@BankatCity,Blue
1008,CORRECTIONS CORP AMER,065084,@CorrectionsCorp,Green
1009,ABERCROMBIE & FITCH  -CL A,063643,@Abercrombie,Blue
1010,RAYONIER INC,005862,@rayonier,Green
1011,LEGACY TEX FINANCIAL GRP INC,174313,@LegacyTexasBank,Green
1012,CARLISLE COS INC,002771,@CarlisleIT,Green
1013,SYNNEX CORP,156155,@SYNNEX,Green
1014,MILLIPORE CORP,007409,@EMD_Millipore,Green
1015,EXPEDITORS INTL WASH INC,004494,@EXPDNewsflash,Green
1016,EPR PROPERTIES,065710,@EPRInsight,Green
1017,WILSHIRE BANCORP INC,064218,,N/A
1018,HOVNANIAN ENTRPRS INC  -CL A,005750,@khov,Green
1019,EQUITY ONE INC,110382,,N/A
1020,TELLABS INC,010420,@Tellabs,Green
1021,GENESEE & WYOMING INC  -CL A,063123,,N/A
1022,COEUR MINING INC,003153,@CoeurMining,Green
1023,NEW JERSEY RESOURCES CORP,007849,@NJNaturalGas,Green
1024,MILLENNIUM PHARMACEUTICALS,062784,@TakedaOncology,Blue
1025,SELECT MEDICAL HOLDINGS CORP,174236,@SelectM,Green
1026,JONES GROUP INC,024032,@JonesNewYork,Green
1027,VERISIGN INC,066368,@VERISIGN,Blue
1028,RENT-A-CENTER INC,031460,@RentACenter,Green
1029,COACH INC,140541,@Coach,Blue
1030,SONIC AUTOMOTIVE INC  -CL A,065831,@SonicAutomotive,Blue
1031,DINEEQUITY INC,024291,@IHOP,Blue
1032,WORLD FUEL SERVICES CORP,012471,@WorldFuelCareer,Green
1033,ESTERLINE TECHNOLOGIES CORP,004460,,N/A
1034,INDEPENDENT BANK CORP/MI,016890,@IndependentBank,Green
1035,REGAL-BELOIT CORP,009016,@RegalBeloitJobs,Green
1036,ZENITH NATIONAL INSURANCE CP,013597,@FFH_TO,Green
1037,CURTISS-WRIGHT CORP,003662,@CurtissWrightDS,Green
1038,MOOG INC  -CL A,007549,@MoogComponents,Green
1039,SILGAN HOLDINGS INC,064389,@SilganPlastics,Green
1040,GROUP 1 AUTOMOTIVE INC,065718,@Group1Auto,Green
1041,TW TELECOM INC,120359,@Level3,Blue
1042,DIAMONDROCK HOSPITALITY CO,160706,,N/A
1043,RLI CORP,013342,,N/A
1044,BUCYRUS INTERNATIONAL INC,024363,@CatMining,Green
1045,LACLEDE GROUP INC,006547,@LacledeGas,Green
1046,HUBBELL INC  -CL B,005764,@HubbellCorp,Green
1047,WILEY (JOHN) & SONS  -CL A,011499,@wileytweets,Green
1048,NORTHWEST NATURAL GAS CO,007993,@nwnatural,Green
1049,LASALLE HOTEL PROPERTIES,109926,,N/A
1050,CERNER CORP,012850,@Cerner_Prop,Green
1051,EXTRA SPACE STORAGE INC,160479,@extraspace,Blue
1052,KINETIC CONCEPTS INC,014555,@KineticConcepts,Green
1053,MEAD JOHNSON NUTRITION CO,180833,@meadjohnson,Green
1054,PINNACLE ENTERTAINMENT INC,005671,@PEG_Games,Green
1055,STERICYCLE INC,063527,@Stericycle_Inc,Green
1056,BRISTOW GROUP INC,008092,@Bristow_Group,Green
1057,CDK GLOBAL INC,021761,@CDKGlobal,Green
1058,HALYARD HEALTH INC,021352,@HalyardHealth,Green
1059,SOUTH JERSEY INDUSTRIES INC,009831,@SJI_News,Red
1060,INTUITIVE SURGICAL INC,136725,@IntuSurgNews,Green
1061,EL PASO ELECTRIC CO,004241,@ElPasoElectric,Green
1062,DIEBOLD INC,003946,@DieboldInc,Green
1063,LKQ CORP,155394,@LKQCorp,Green
1064,BROWN & BROWN INC,015417,@browninsgrp,Green
1065,TOTAL SYSTEM SERVICES INC,010631,@TSYS_TSS,Green
1066,KIRBY CORP,006461,@kirbycorporatio,Red
1067,THOMAS & BETTS CORP,010540,@TNBCorporate,Green
1068,VARIAN MEDICAL SYSTEMS INC,011115,@VarianMedSys,Green
1069,GLOBAL PAYMENTS INC,141913,@GlobalPayInc,Green
1070,ADVANCED MEDICAL OPTICS INC,148870,@AbbottNews,Blue
1071,PATTERSON COMPANIES INC,025880,@PattersonCoJobs,Green
1072,DICKS SPORTING GOODS INC,150139,@DICKS,Blue
1073,SCIENTIFIC GAMES CORP,010991,@ScientificGames,Green
1074,IDEX CORP,015267,@CorporacionIDEX,Green
1075,MANOR CARE INC,024607,@HCR_ManorCare,Green
1076,CONVERGYS CORP,113419,@convergys,Green
1077,FAIRPOINT COMMUNICATIONS INC,148217,@FairPoint,Green
1078,COOPER TIRE & RUBBER CO,003502,@CooperTire,Blue
1079,PETSMART INC,028648,@PetSmart,Blue
1080,TRIMBLE NAVIGATION LTD,022815,@TrimbleCorpNews,Green
1081,ANDREW CORP,001651,@CommScope,Green
1082,GLOBAL CROSSING LTD,113491,@Level3,Blue
1083,WELLCARE HEALTH PLANS INC,260778,@WellCare_Health,Green
1084,LOUISIANA-PACIFIC CORP,006821,@lpcorp,Green
1085,MEADOWBROOK INS GROUP INC,061589,,N/A
1086,AXIALL CORP,012895,@axiallcorp,Green
1087,WATERS CORP,061574,@WatersCorp,Blue
1088,BRINKS CO,028590,@Brinks,Green
1089,APPLIED BIOSYSTEMS INC,008488,@AppliedBio,Green
1090,NOVELL INC,011910,@Novell,Green
1091,PENN VIRGINIA CORP,008440,@PennVirginia,Red
1092,HEALTHSOUTH CORP,012589,@HLSHR,Green
1093,CADENCE DESIGN SYSTEMS INC,013421,@Cadence,Green
1094,ARMOR HOLDINGS INC,015290,@BAESystemsInc,Green
1095,AMC NETWORKS INC,187406,@AMCnews,Blue
1096,MDC HOLDINGS INC,006865,@RAHomes,Green
1097,BEAZER HOMES USA INC,029755,@BeazerHomes,Green
1098,CACI INTL INC  -CL A,002596,@CACIIntl,Green
1099,CST BRANDS INC,017699,@CSTBrands,Green
1100,ALERIS CORP,013712,@Aleriscorp,Green
1101,NVR INC,012459,@RyanHomes1948,Green
1102,MSCI INC,178507,@MSCI_Inc,Green
1103,ORITANI FINANCIAL CORP,176351,@OritaniBank,Green
1104,KEYSIGHT TECHNOLOGIES INC,020232,@Keysight,Green
1105,DOLLAR TREE INC,031587,@DollarTree,Green
1106,BROADRIDGE FINANCIAL SOLUTNS,176928,@Broadridge,Green
1107,KEURIG GREEN MOUNTAIN INC,028877,@Keurig,Blue
1108,GEO GROUP INC,030536,@TheGeoGroupCorp,Green
1109,RED HAT INC,122841,@RedHatNews,Green
1110,CINCINNATI BELL INC,003036,@CincyBell,Green
1111,TERADATA CORP,178310,@Teradata,Green
1112,OSI RESTAURANT PARTNERS INC,024186,@Outback,Blue
1113,UNIVERSAL CORP/VA,011017,,N/A
1114,HORNBECK OFFSHORE SVCS INC,150258,,N/A
1115,JDS UNIPHASE CORP,029241,,N/A
1116,ITRON INC,029133,@Itron,Green
1117,HUNT (JB) TRANSPRT SVCS INC,005783,@jbhunt360,Green
1118,ROVI CORP,064480,@RoviCorp,Green
1119,POST PROPERTIES INC,028608,@Post_Properties,Green
1120,STEWART ENTERPRISES  -CL A,024538,,N/A
1121,SAKS INC,013380,@saks,Blue
1122,OMEGA HEALTHCARE INVS INC,025633,,N/A
1123,AVX CORP,001072,@AVXCorp,Green
1124,FTI CONSULTING INC,062823,@FTIConsulting,Green
1125,BALDOR ELECTRIC CO,001981,@BaldorElectric,Green
1126,HEALTHCARE REALTY TRUST INC,028322,,N/A
1127,NATIONAL SEMICONDUCTOR CORP,007772,@TXInstruments,Blue
1128,LAUREATE EDUCATION INC,013227,@LaureateIntlU,Green
1129,OLIN CORP,008123,@OlinCareers,Green
1130,PSYCHIATRIC SOLUTIONS INC,022221,@UHS_Inc,Green
1131,WHITEWAVE FOODS CO,013540,@WhiteWaveFoods,Green
1132,NOW INC,020235,,N/A
1133,STONE ENERGY CORP,028564,@StoneEnergyCorp,Green
1134,WEX INC,162385,@WEXIncNews,Green
1135,SMITH (A O) CORP,009771,@AOSmithHotWater,Green
1136,BILL BARRETT CORP,162459,@BillBarrettCorp,Green
1137,ACTIVISION INC,001111,@Activision,Blue
1138,FIRST INDIANA CORP,016843,,N/A
1139,EDWARDS LIFESCIENCES CORP,133366,@EdwardsLifesci,Green
1140,RADIOSHACK CORP,010332,@RadioShack,Blue
1141,BB LIQUIDATING INC,122514,,N/A
1142,RYERSON HOLDING CORP,005968,,N/A
1143,MEDNAX INC,061325,@MEDNAX,Green
1144,AKAMAI TECHNOLOGIES INC,125595,@Akamai,Green
1145,CARPENTER TECHNOLOGY CORP,002787,@CarpenterTech,Green
1146,RYLAND GROUP INC,009302,@RylandHomes,Green
1147,ATLAS AIR WORLDWIDE HLDG INC,061155,@AtlasAirWW,Green
1148,BELO CORP  -SER A COM,002150,@DMNmediapro,Blue
1149,SWIFT ENERGY CO,010221,@SFYRecruiter,Green
1150,ATWOOD OCEANICS,001860,@AtwoodOceanics,Green
1151,CIVEO CORP,020020,@CiveoCorp,Green
1152,COMSTOCK RESOURCES INC,023002,,N/A
1153,TREEHOUSE FOODS INC,163983,@FBOPFastFood,Green
1154,GARDNER DENVER INC,030098,@GardnerDenver,Green
1155,COLLECTIVE BRANDS INC,062667,@PaylessInsider,Blue
1156,BJ'S WHOLESALE CLUB INC,065105,@BJsWholesale,Green
1157,SWIFT TRANSPORTATION CO INC,022532,@SwiftTransport,Green
1158,WILLIAMS-SONOMA INC,011511,@WilliamsSonoma,Blue
1159,TOWER AUTOMOTIVE INC,030598,,N/A
1160,C H ROBINSON WORLDWIDE INC,065609,@CHRobinsonInc,Green
1161,SOTHEBY'S,014412,@Sothebys,Blue
1162,BOFI HOLDING INC,162560,@BofIHolding,Green
1163,KNOWLES CORP,019518,,N/A
1164,APTARGROUP INC,028176,@aptargroup,Green
1165,OCEANEERING INTERNATIONAL,008079,@Oceaneering,Green
1166,CLEAN HARBORS INC,014027,@CleanHarbors,Green
1167,AMERIGROUP CORP,145367,@Amerigroup,Green
1168,STARZ,032280,@STARZ_Channel,Blue
1169,CLOUD PEAK ENERGY INC,180635,@CloudPeakJobs,Green
1170,CHIQUITA BRANDS INTL INC,010884,@Chiquita,Green
1171,CREE INC,027794,@Cree,Green
1172,AAR CORP,001004,@AARCORP,Green
1173,SCOTTS MIRACLE-GRO CO,020185,@Scotts_MGro,Green
1174,LIFE TIME FITNESS INC,160183,@lifetimefitness,Blue
1175,INFINITY PROPERTY & CAS CORP,110065,,N/A
1176,AIRTRAN HOLDINGS INC,030399,@SouthwestAir,Blue
1177,COMPUWARE CORP,026011,@compuware,Green
1178,BLACK KNIGHT FINL SVCS -REDH,180272,@BlackKnightFS,Green
1179,SEQUA CORP  -CL A,010150,,N/A
1180,US ONCOLOGY INC,060835,@TheUSONetwork,Green
1181,UTI WORLDWIDE INC,141001,@UTi_Worldwide,Green
1182,METTLER-TOLEDO INTL INC,065772,@mettlertoledo,Green
1183,GRANT PRIDECO INC,133170,@NOVGlobal,Blue
1184,CHARLES RIVER LABS INTL INC,137131,@CRiverLabs,Green
1185,VERIFONE SYSTEMS INC,162733,@Verifone,Green
1186,MATSON INC,001254,,N/A
1187,TICKETMASTER ENTERTNMNT INC,116395,@Ticketmaster,Blue
1188,NETFLIX INC,147579,@netflix,Blue
1189,TERRA INDUSTRIES INC,005980,@CFIndustries,Red
1190,ALLEGION PLC,316056,@AllegionPlc,Green
1191,MEREDITH CORP,007260,@MeredithCorp,Blue
1192,ICONIX BRAND GROUP INC,020204,@Iconix,Green
1193,SYBASE INC,024409,@SybaseIQ,Green
1194,CENTURY ALUMINUM CO,062516,@CenturyAlumin,Green
1195,INTL SPEEDWAY CORP  -CL A,006116,,N/A
1196,SUNCOKE ENERGY INC,186773,@suncoke,Green
1197,OWENS & MINOR INC,008213,@jobs_owensminor,Green
1198,ADESA INC,025146,@ADESAauction,Green
1199,ROUSE PROPERTIES INC,009256,,N/A
1200,CIENA CORP,064356,@Ciena,Green
1201,DOW JONES & CO INC,004062,@DowJones,Blue
1202,LINCARE HOLDINGS INC,025062,,N/A
1203,ANSYS INC,063080,@ANSYSinc,Green
1204,CHECKFREE CORP,061355,@Fiserv,Blue
1205,POLYONE CORP,028194,@PolyOne,Green
1206,BELDEN INC,028940,@BeldenInc,Green
1207,COVANCE INC,064162,@CovanceInc,Green
1208,MURPHY USA INC,018498,@MurphyUSA,Green
1209,MASTEC INC,002497,@MasTec,Green
1210,WENDY'S INTERNATIONAL INC,011366,@Wendys,Blue
1211,3COM CORP,010553,@HP,Blue
1212,SOLERA HOLDINGS INC,177429,@SoleraInc,Green
1213,FAIRCHILD SEMICONDUCTOR INTL,065643,@FairchildSemi,Green
1214,AMERN EAGLE OUTFITTERS INC,030059,@AEO,Blue
1215,NOVELLUS SYSTEMS INC,014623,@NovellusSystems,Green
1216,FINANCIAL FEDERAL CORP,025322,,N/A
1217,FRONTIER OIL CORP,011257,@Holly_Frontier,Red
1218,OM GROUP INC,029001,,N/A
1219,VALMONT INDUSTRIES INC,011094,@ValmontInd,Green
1220,UNITED STATIONERS INC,010981,@Essendant,Green
1221,MONSTER WORLDWIDE INC,064156,@MonsterWW,Blue
1222,TERADYNE INC,010453,@Teradyneinc,Green
1223,MOLINA HEALTHCARE INC,152149,@molinahealth,Green
1224,GETTY IMAGES INC,063196,@GettyImages,Blue
1225,CASCADE BANCORP,029613,,N/A
1226,ENERSYS INC,160893,,N/A
1227,FLOWERS FOODS INC,004809,@flowersfoods,Green
1228,TELEDYNE TECHNOLOGIES INC,126721,@TeledyneDALSA,Green
1229,PARKWAY PROPERTIES INC,008363,,N/A
1230,PIPER JAFFRAY COS INC,008605,@PiperJaffrayCo,Green
1231,ALLSCRIPTS HEALTHCARE SOLTNS,181104,@Allscripts,Green
1232,AMERICAN ASSETS TRUST INC,185549,,N/A
1233,LINCOLN ELECTRIC HLDGS INC,006737,@LincolnElectric,Green
1234,REGIS CORP/MN,009023,@RegisCorp,Green
1235,PS BUSINESS PARKS,023793,@PSBusinessParks,Green
1236,ALLIANCE ONE INTL INC,003937,,N/A
1237,WORTHINGTON INDUSTRIES,011600,@WorthingtonInds,Green
1238,ASCENA RETAIL GROUP INC,004072,@dressbarn,Green
1239,INSIGHT ENTERPRISES INC,031453,@InsightEnt,Green
1240,GRIFFON CORP,005987,,N/A
1241,KATE SPADE & CO,006768,@katespadeandco,Green
1242,WABTEC CORP,060979,@WabtecCorp,Green
1243,PHARMACEUTICAL PROD DEV INC,061871,@PPDCRO,Green
1244,INTL RECTIFIER CORP,006109,,N/A
1245,HARRIS TEETER SUPERMARKETS,009284,@HarrisTeeter,Blue
1246,BORDERS GROUP INC,031849,@BNBuzz,Blue
1247,WINN-DIXIE STORES INC,011535,@WinnDixie,Blue
1248,ANDERSONS INC,001659,@andersonsinc,Green
1249,DUN & BRADSTREET CORP,004094,@DnBUS,Green
1250,LONGS DRUG STORES CORP,006802,@CVSHealth,Blue
1251,SKYWORKS SOLUTIONS INC,001327,@skyworksinc,Green
1252,VCA INC,024539,,N/A
1253,ACTUANT CORP  -CL A,001706,@Actuant,Green
1254,ARRIS GROUP INC,028853,@ARRIS,Green
1255,WASHINGTON GROUP INTL INC,006347,@AECOM,Green
1256,RESMED INC,031887,@resmeds9,Green
1257,FLIR SYSTEMS INC,028477,@flir,Green
1258,LINEAR TECHNOLOGY CORP,012216,@LinearTech,Green
1259,MICHAELS COS INC,007316,@MichaelsStores,Blue
1260,ROYAL GOLD INC,009273,,N/A
1261,CASH AMERICA INTL INC,013032,@cashamerica,Green
1262,BRIGGS & STRATTON,002393,@BriggsStratton,Green
1263,CH ENERGY GROUP INC,002856,,N/A
1264,SENSIENT TECHNOLOGIES CORP,011012,@SensientSXT,Green
1265,VERTEX PHARMACEUTICALS INC,024344,@VertexPharma,Green
1266,HEALTHMARKETS INC,017254,@HealthMarkets4U,Green
1267,WATTS WATER TECHNOLOGIES INC,012445,@wattsbrand,Green
1268,LENNOX INTERNATIONAL INC,122380,@LennoxAir,Blue
1269,LEE ENTERPRISES INC,006639,@LeeNewsTweets,Green
1270,EW SCRIPPS  -CL A,014535,@EWScrippsCo,Green
1271,ACADIA REALTY TRUST,028323,@AcadiaRealty,Green
1272,COUSINS PROPERTIES INC,003562,@cuzproperties,Red
1273,ALEXANDER & BALDWIN INC,011756,,N/A
1274,VALASSIS COMMUNICATIONS INC,025021,@valassis,Green
1275,SIRONA DENTAL SYSTEMS INC,174876,@sironadental,Green
1276,GRANITE CONSTRUCTION INC,021429,@Granite,Green
1277,ABM INDUSTRIES INC,001410,@ABMFacilityServ,Green
1278,GATEWAY INC,029345,@GatewayOfficial,Green
1279,APRIA HEALTHCARE GROUP INC,023988,@apriacareers,Green
1280,MERITAGE HOMES CORP,014790,@MeritageHomes,Blue
1281,METALDYNE CORP,007086,,N/A
1282,BIG LOTS INC,012123,@BigLots,Blue
1283,WARNACO GROUP INC,013990,,N/A
1284,DREAMWORKS ANIMATION INC,160912,@DWAnimation,Blue
1285,BARNES GROUP INC,002049,@BarnesGroupInc,Green
1286,ACUITY BRANDS INC,146017,@AcuityBrands,Green
1287,MOBILE MINI INC,029734,@mobilemini_inc,Green
1288,HILB ROGAL & HOBBS CO,014466,@WillisGroup,Green
1289,ADC TELECOMMUNICATIONS INC,001013,@TEConnectivity,Blue
1290,AMERICAN GREETINGS  -CL A,001468,@amgreetings,Blue
1291,BRINKER INTL INC,003007,@BrinkerIntl,Green
1292,HILL-ROM HOLDINGS INC,005639,,N/A
1293,INVESTMENT TECHNOLOGY GP INC,030146,@ITGinc,Green
1294,SCHOLASTIC CORP,009466,@Scholastic,Green
1295,TUPPERWARE BRANDS CORP,062897,@TupperwareWW,Green
1296,PEP BOYS-MANNY MOE & JACK,008475,@PepBoysAudio,Green
1297,ALBERTO-CULVER CO,001239,@Unilever,Blue
1298,HAIN CELESTIAL GROUP INC,029609,@hain_celestial,Green
1299,CASEYS GENERAL STORES INC,002807,@caseysgenstore,Green
1300,FASTENAL CO,014225,@FastenalCompany,Green
1301,TEXAS INDUSTRIES INC,010498,@MartinMarietta,Green
1302,SEPRACOR INC,024473,Sunovion,Green
1303,BRADY CORP,002352,@BradyNASocial,Green
1304,WOODWARD INC,011580,@woodward_inc,Green
1305,GUESS INC,063447,@GUESS,Blue
1306,MEDICAL PROPERTIES TRUST,162160,,N/A
1307,CHESAPEAKE LODGING TRUST,183963,,N/A
1308,DONALDSON CO INC,004036,,N/A
1309,ATMEL CORP,023767,@Atmel,Green
1310,AMSURG CORP,065967,@AmSurgCorp,Green
1311,LANDRYS RESTAURANTS INC,028765,@LandrysInc,Green
1312,BENCHMARK ELECTRONICS INC,023084,,N/A
1313,DEVRY EDUCATION GROUP INC,003905,@DeVryGroup,Green
1314,EATON VANCE CORP,004201,@EatonVance,Green
1315,URBAN OUTFITTERS INC,029150,@UrbanOutfitters,Blue
1316,HAYES LEMMERZ INTL INC,026019,,N/A
1317,POLYCOM INC,062730,@Polycom,Green
1318,GRAFTECH INTERNATIONAL LTD,061153,,N/A
1319,KELLY SERVICES INC  -CL A,006379,@KellyServices,Green
1320,SS&C TECHNOLOGIES HLDGS INC,062965,@SSCTechnologies,Green
1321,KELLWOOD CO,006376,@KellwoodCompany,Green
1322,CUBIST PHARMACEUTICALS INC,063866,@Merck,Blue
1323,GULFMARK OFFSHORE INC,005379,,N/A
1324,FRANKLIN STREET PROPERTIES,163884,,N/A
1325,CEDAR REALTY TRUST INC,013189,@CedarRealtyTrst,Green
1326,AGERE SYSTEMS INC,141845,@Avagotech,Green
1327,LITHIA MOTORS INC  -CL A,064175,@lithiamotors,Green
1328,PTC INC,018699,@PTC,Green
1329,NACCO INDUSTRIES  -CL A,007938,,N/A
1330,HEALTHSPRING INC,165855,@Cigna,Green
1331,UTSTARCOM HOLDINGS CORP,132525,@utstarcom,Green
1332,GENESIS HEALTHCARE CORP,157355,@GenesisHCS,Green
1333,SAFETY INSURANCE GROUP INC,148469,@safetyins,Green
1334,TRACTOR SUPPLY CO,029736,@TractorSupply,Green
1335,FXCM INC,185518,@FXCM,Blue
1336,UST INC,010974,@InsidePMI,Blue
1337,MAGELLAN HEALTH INC,002940,@MagellanHealth,Green
1338,HENRY (JACK) & ASSOCIATES,011811,@JackHenryAssoc,Green
1339,GENERAL COMMUNICATION  -CL A,013375,@GCIAK,Green
1340,ROSETTA RESOURCES INC,166061,@NobleColorado,Green
1341,AARON'S INC,001076,@AaronsInc,Blue
1342,INTERSIL CORP  -CL A,130762,@Intersil,Green
1343,F5 NETWORKS INC,121077,@F5Networks,Blue
1344,QUEST SOFTWARE INC,122921,,N/A
1345,FULLER (H. B.) CO,004926,@GlueTalk,Green
1346,PRESTIGE BRANDS HOLDINGS,162335,,N/A
1347,MENTOR GRAPHICS CORP,007251,@mentor_graphics,Green
1348,STERIS CORP,025313,@STERIS,Green
1349,ALEXION PHARMACEUTICALS INC,062263,@AlexionPharma,Green
1350,TITANIUM METALS CORP,062984,,N/A
1351,GOVERNMENT PPTYS INCOME TR,182701,,N/A
1352,TEKTRONIX INC,010391,@tektronix,Green
1353,OLD DOMINION FREIGHT,024617,@ODFLInc,Green
1354,PERFORMANCE FOOD GRP-REDH,028787,,N/A
1355,JACK IN THE BOX INC,013092,@JackBox,Blue
1356,TANGER FACTORY OUTLET CTRS,028340,@TangerOutlets,Green
1357,CONSOLIDATED COMM HLDGS INC,162127,@MyCCITweets,Green
1358,NCO GROUP INC,063951,@ncogroupinc,Green
1359,JLG INDUSTRIES INC,006207,@JLG_Industries,Green
1360,TIBCO SOFTWARE INC,122061,@TIBCO,Blue
1361,MICHAEL KORS HOLDINGS LTD,198058,@MichaelKors,Blue
1362,NORDSON CORP,007921,@Nordson_Corp,Green
1363,CLEARWATER PAPER CORP,181931,,N/A
1364,PDC ENERGY INC,008512,@PDCEnergy,Red
1365,ROBERT HALF INTL INC,002312,@RobertHalfTech,Blue
1366,CRACKER BARREL OLD CTRY STOR,003570,@CrackerBarrel,Blue
1367,VALEANT PHARMACEUTICALS -OLD,009340,,N/A
1368,FLORIDA ROCK INDUSTRIES INC,004802,,N/A
1369,DELUXE CORP,003863,@deluxecorp,Green
1370,ACXIOM CORP,002536,@Acxiom,Green
1371,KAISER ALUMINUM CORP,024293,@KaiserAlum,Red
1372,MSC INDUSTRIAL DIRECT  -CL A,061732,@MSC_Industrial,Green
1373,OUTERWALL INC,065026,@Outerwall,Green
1374,TETRA TECHNOLOGIES INC/DE,021237,,N/A
1375,SOVRAN SELF STORAGE INC,060914,@UncleBobStorage,Green
1376,WEST PHARMACEUTICAL SVSC INC,011376,@WestPharma,Green
1377,MEDIA GENERAL INC  -OLD,007203,@Media_General,Green
1378,FERRO CORP,004622,,N/A
1379,SCIENCE APPLICATIONS INTL CP,018683,@SAICinc,Green
1380,WOLVERINE WORLD WIDE,011566,@WolverineWW,Green
1381,PAR PHARMACEUTICAL COS INC,008333,,N/A
1382,BASIC ENERGY SERVICES INC,137024,,N/A
1383,CHICOS FAS INC,027981,@Chicos,Blue
1384,BRIGHT HORIZONS FAMILY SOLTN,065275,@BrightHorizons,Blue
1385,CARRIZO OIL & GAS INC,065220,@CarrizoOilGas,Green
1386,CARTER'S INC,150278,@Carters,Green
1387,STEWART INFORMATION SERVICES,010086,@StewartTitleCo,Green
1388,SEI INVESTMENTS CO,009317,@SEIAdvisors,Green
1389,FOSSIL GROUP INC,028118,@Fossil,Blue
1390,TETRA TECH INC,024783,@TetraTech,Green
1391,MANTECH INTL CORP,146171,@ManTech,Green
1392,INVACARE CORP,006158,@ivcranz,Green
1393,ENPRO INDUSTRIES INC,148950,,N/A
1394,MENS WEARHOUSE INC,025167,@menswearhouse,Blue
1395,GARTNER INC,012441,@Gartner_inc,Green
1396,UNITED NATURAL FOODS INC,063927,@UNFI,Green
1397,IRIDIUM COMMUNICATIONS INC,183640,@IridiumComm,Blue
1398,UNITED THERAPEUTICS CORP,121440,@UnitherFIRST,Green
1399,COCA-COLA BTLNG CONS,003138,@CokeCCBCC,Green
1400,REGENERON PHARMACEUTICALS,023812,@regeneron,Green
1401,ZALE CORP,011669,@ZalesJewelers,Blue
1402,WERNER ENTERPRISES INC,012266,@One_Werner,Green
1403,CHARMING SHOPPES INC,002938,@lanebryant,Blue
1404,HSN INC,180402,@HSN,Blue
1405,TEMPUR SEALY INTL INC,156861,@TempurPedic,Blue
1406,SUNRISE SENIOR LIVING INC,062967,@SunriseSrLiving,Green
1407,MEDASSETS INC,179027,@MedAssets,Green
1408,CHOICEPOINT INC,065156,@LexisNexis,Green
1409,RADIO ONE INC,120301,@RadioOne_inc,Green
1410,BRIGHTPOINT INC,030006,@IM_Mobility,Green
1411,INLAND REAL ESTATE CORP,143689,@InlandGroup,Green
1412,KITE REALTY GROUP TRUST,266315,@kiterealtygroup,Green
1413,GENTIVA HEALTH SERVICES INC,130200,,N/A
1414,GLATFELTER,005179,@Glatfelter,Green
1415,QUANEX CORP,008859,,N/A
1416,MUELLER INDUSTRIES,015343,,N/A
1417,GYMBOREE CORP,028018,@Gymboree,Green
1418,CENTRAL GARDEN & PET CO,025536,,N/A
1419,PAREXEL INTERNATIONAL CORP,061600,@PAREXEL,Green
1420,FOUNDRY NETWORKS INC,124319,@Brocade,Blue
